country_id,indicator_id,Year,Value,Gender
2,5,2004,3026939,
2,5,2005,3011487,
2,5,2006,2992547,
2,5,2007,2970017,
2,5,2008,2947314,
2,5,2009,2927519,
2,5,2010,2913021,
2,5,2011,2905195,
2,5,2012,2900401,
2,5,2013,2895092,
2,5,2014,2889104,
2,5,2015,2880703,
2,5,2016,2876101,
2,5,2017,2873457,
2,5,2018,2866376,
2,5,2019,2854191,
2,5,2020,2837849,
2,5,2021,2811666,
2,5,2022,2777689,
2,5,2023,2745972,
2,6,1990,1366650,
2,6,1991,1419589,
2,6,1992,1429286,
2,6,1993,1407770,
2,6,1994,1389340,
2,6,1995,1363787,
2,6,1996,1345509,
2,6,1997,1360459,
2,6,1998,1344507,
2,6,1999,1324627,
2,6,2000,1313953,
2,6,2001,1300522,
2,6,2002,1304298,
2,6,2003,1290479,
2,6,2004,1275726,
2,6,2005,1259700,
2,6,2006,1241897,
2,6,2007,1222005,
2,6,2008,1201455,
2,6,2009,1247208,
2,6,2010,1259163,
2,6,2011,1376922,
2,6,2012,1317638,
2,6,2013,1217163,
2,6,2014,1244156,
2,6,2015,1295052,
2,6,2016,1341701,
2,6,2017,1363232,
2,6,2018,1393620,
2,6,2019,1415825,
2,6,2020,1352399,
2,6,2021,1367734,
2,6,2022,1389262,
2,6,2023,1376643,
2,6,2024,1375007,
2,7,1992,226.0054213,
2,7,1993,85.00475124,
2,7,1994,22.56505269,
2,7,1995,7.793218538,
2,7,1996,12.72547781,
2,7,1997,33.18027438,
2,7,1998,20.64285887,
2,7,1999,0.389437654,
2,7,2000,0.050018136,
2,7,2001,3.10758827,
2,7,2002,7.770525834,
2,7,2003,0.484002612,
2,7,2004,2.280019169,
2,7,2005,2.366581957,
2,7,2006,2.370728319,
2,7,2007,2.932682482,
2,7,2008,3.320870904,
2,7,2009,2.266922095,
2,7,2010,3.627100915,
2,7,2011,3.428071301,
2,7,2012,2.031592684,
2,7,2013,1.937620802,
2,7,2014,1.625865044,
2,7,2015,3.501208355,
2,7,2016,-0.36731721,
2,7,2017,2.060598459,
2,7,2018,2.028059631,
2,7,2019,1.41109079,
2,7,2020,1.620886617,
2,7,2021,2.041471631,
2,7,2022,6.725202715,
2,7,2023,4.759764219,
2,7,2024,2.214489533,
2,8,1995,16.52199936,
2,8,1996,16.54999924,
2,8,1997,16.52499962,
2,8,1998,16.51600075,
2,8,1999,16.61100006,
2,8,2000,16.57299995,
2,8,2001,16.56699944,
2,8,2002,16.67300034,
2,8,2003,16.68400002,
2,8,2004,16.58600044,
2,8,2005,16.45999908,
2,8,2006,16.19599915,
2,8,2007,15.9659996,
2,8,2008,13.06000042,
2,8,2009,13.67399979,
2,8,2010,14.08600044,
2,8,2011,13.48099995,
2,8,2012,13.3760004,
2,8,2013,15.86600018,
2,8,2014,17.48999977,
2,8,2015,17.07999992,
2,8,2016,15.22000027,
2,8,2017,13.75,
2,8,2018,12.34000015,
2,8,2019,12.33100033,
3,1,1960,2723615451,
3,1,1961,2434747056,
3,1,1962,2001444544,
3,1,1963,2702982018,
3,1,1964,2909316435,
3,1,1965,3136284307,
3,1,1966,3039859187,
3,1,1967,3370870376,
3,1,1968,3852147027,
3,1,1969,4257253264,
3,1,1970,4863526897,
3,1,1971,5077183094,
3,1,1972,6766743957,
3,1,1973,8707858912,
3,1,1974,13209871626,
3,1,1975,15557902754,
3,1,1976,17728240932,
3,1,1977,20972113685,
3,1,1978,26364491313,
3,1,1979,33243706860,
3,1,1980,42345829079,
3,1,1981,44348590461,
3,1,1982,45207167470,
3,1,1983,48801369800,
3,1,1984,53698548293,
3,1,1985,57937868670,
3,1,1986,63692007897,
3,1,1987,66745818375,
3,1,1988,59089396860,
3,1,1989,55634721573,
3,1,1990,62048507531,
3,1,1991,45715676428,
3,1,1992,48003133347,
3,1,1993,49945584453,
3,1,1994,42543176829,
3,1,1995,41764291672,
3,1,1996,46941554225,
3,1,1997,48177612042,
3,1,1998,48187781984,
3,1,1999,48640671735,
3,1,2000,54790398570,
3,1,2001,59413400924,
3,1,2002,61516103406,
3,1,2003,73482264191,
3,1,2004,91913680985,
3,1,2005,1.07E+11,
3,1,2006,1.23E+11,
3,1,2007,1.42E+11,
3,1,2008,1.80E+11,
3,1,2009,1.50E+11,
3,1,2010,1.78E+11,
3,1,2011,2.18E+11,
3,1,2012,2.27E+11,
3,1,2013,2.30E+11,
3,1,2014,2.39E+11,
3,1,2015,1.87E+11,
3,1,2016,1.81E+11,
3,1,2017,1.90E+11,
3,1,2018,1.95E+11,
3,1,2019,1.93E+11,
3,1,2020,1.65E+11,
3,1,2021,1.86E+11,
3,1,2022,2.26E+11,
3,1,2023,2.48E+11,
3,2,1990,12.20866803,Female
3,2,1991,12.14050159,Female
3,2,1992,12.16825651,Female
3,2,1993,12.13926219,Female
3,2,1994,12.16130944,Female
3,2,1995,12.32925763,Female
3,2,1996,12.523172,Female
3,2,1997,12.67370415,Female
3,2,1998,12.84280947,Female
3,2,1999,13.01080433,Female
3,2,2000,13.2003754,Female
3,2,2001,13.41240466,Female
3,2,2002,13.65790283,Female
3,2,2003,13.93411745,Female
3,2,2004,14.22685538,Female
3,2,2005,14.55253328,Female
3,2,2006,14.89405052,Female
3,2,2007,15.26501454,Female
3,2,2008,15.65463365,Female
3,2,2009,16.06677711,Female
3,2,2010,16.14497082,Female
3,2,2011,16.43480459,Female
3,2,2012,16.75062353,Female
3,2,2013,17.09392344,Female
3,2,2014,17.46574413,Female
3,2,2015,17.54508264,Female
3,2,2016,17.32114212,Female
3,2,2017,17.18572149,Female
3,2,2018,17.06101377,Female
3,2,2019,16.95182852,Female
3,2,2020,16.91511612,Female
3,2,2021,17.00558225,Female
3,2,2022,16.67176638,Female
3,2,2023,16.83005638,Female
3,2,2024,16.82139362,Female
3,3,1991,16.574,Female
3,3,1992,20.618,Female
3,3,1993,23.166,Female
3,3,1994,25.544,Female
3,3,1995,30.494,Female
3,3,1996,28.21,Female
3,3,1997,26.172,Female
3,3,1998,27.333,Female
3,3,1999,28.71,Female
3,3,2000,29.718,Female
3,3,2001,27.755,Female
3,3,2002,27,Female
3,3,2003,25.451,Female
3,3,2004,18.208,Female
3,3,2005,17.206,Female
3,3,2006,15.165,Female
3,3,2007,18.993,Female
3,3,2008,17.607,Female
3,3,2009,18.206,Female
3,3,2010,19.246,Female
3,3,2011,17.349,Female
3,3,2012,17.25,Female
3,3,2013,16.557,Female
3,3,2014,15.726,Female
3,3,2015,16.741,Female
3,3,2016,18.763,Female
3,3,2017,21.252,Female
3,3,2018,21.477,Female
3,3,2019,21.677,Female
3,3,2020,24.032,Female
3,3,2021,23.351,Female
3,3,2022,22.126,Female
3,3,2023,21.144,Female
3,3,2024,20.828,Female
3,4,1991,21.156,Male
3,4,1992,24.901,Male
3,4,1993,26.653,Male
3,4,1994,28.044,Male
3,4,1995,32.029,Male
3,4,1996,28.322,Male
3,4,1997,25.322,Male
3,4,1998,26.782,Male
3,4,1999,28.523,Male
3,4,2000,29.778,Male
3,4,2001,27.229,Male
3,4,2002,25.726,Male
3,4,2003,23.44,Male
3,4,2004,17.557,Male
3,4,2005,14.94,Male
3,4,2006,11.763,Male
3,4,2007,12.853,Male
3,4,2008,10.165,Male
3,4,2009,8.62,Male
3,4,2010,8.172,Male
3,4,2011,8.507,Male
3,4,2012,9.706,Male
3,4,2013,8.431,Male
3,4,2014,9.039,Male
3,4,2015,10.028,Male
3,4,2016,8.408,Male
3,4,2017,10.08,Male
3,4,2018,10.215,Male
3,4,2019,10.337,Male
3,4,2020,12.026,Male
3,4,2021,11.638,Male
3,4,2022,10.39,Male
3,4,2023,9.79,Male
3,4,2024,9.526,Male
3,5,1960,11424922,
3,5,1961,11628883,
3,5,1962,11800771,
3,5,1963,11982118,
3,5,1964,12179813,
3,5,1965,12365976,
3,5,1966,12590069,
3,5,1967,12876118,
3,5,1968,13172614,
3,5,1969,13475960,
3,5,1970,13783719,
3,5,1971,14098936,
3,5,1972,14427072,
3,5,1973,14771147,
3,5,1974,15133502,
3,5,1975,15678596,
3,5,1976,16409170,
3,5,1977,17015994,
3,5,1978,17506974,
3,5,1979,18036655,
3,5,1980,18607174,
3,5,1981,19220704,
3,5,1982,19872348,
3,5,1983,20558115,
3,5,1984,21271969,
3,5,1985,22008544,
3,5,1986,22745499,
3,5,1987,23443624,
3,5,1988,24109536,
3,5,1989,24754485,
3,5,1990,25375810,
3,5,1991,25987928,
